1IC,BPMN-RPAStudio
RandyHollines,Objeck
Romanitho,WiGUI
MinhLoi,Midterm
Zidoro,Pomatez
JTL,Wawi
Adobe,DNGConverter
JakobDev,jdTextEdit
Kingsoft,TypeEasy
ProsoftEngineering,DataRescue
3CX,CallFlowDesigner
dail8859,NotepadNext
RustemMussabekov,Raindrop
UMEZAWATakeshi,UtvideoCodecSuite
prefix-dev,pixi
Eigenmiao,Rickrack
tsl0922,ttyd
KDE,kile
EQAditu,AdvancedCombatTracker
RIA,DigiDoc4
Microsoft,DownloadManager
CactusNetwork,CactusBlockchainGUI
TeamReadarr,Readarr
Tencent,TIM
Seewo,EasiCare
CCTV,CBox
NirSoft,BlueScreenView
Smogon,PokemonShowdown
KN4CRD,JS8Call
Rustlang,Rust,GNU
mmozeiko,wcap
trzsz,tssh
Kubernetes,kind
undergroundwires,privacy,sexy
SonicWALL,NetExtender
Wondershare,UniConverter,13
Lolle2000la,ImageSort
aristocratos,btop4win
re-volt,RVGLLauncher
Wondershare,UniConverter,14
CreativeTechnology,CreativeApp
Google,Terraformer
Wiesemann-Theis,Com-PnP
CherubicSoftware,SageThumbs
RedactSoftware,Redact
robinovitch61,webtoon-dl
maurizuki,O2
CloudFoundry,CLI,v8
ThielickeITSolutions,TIPP10
EFDSoftware,HDTunePro
TopazLabs,TopazSharpenAI
TwibrightLabs,Links
DigitalExtremes,Warframe
Microsoft,DotNet,SDK,3_1
XINGInc,GinsakiYamato
XBMCFoundation,Kodi
MiTeC,IconExplorer
Evolus,Pencil
Easeware,DriverEasy
Ability,AbilityOffice,8,Standard
SweetScape,010Editor
EdrawSoft,EdrawInfo
AnyTXT,AnyTXTSearcher
Google,AndroidStudio
Bandisoft,Honeyview
Syncplify,Server
Roku,RemoteTool
CubeSoft,CubePDF
AshishBharadwajJ,Flawesome
BinaryMark,BatchTextFileEditor
Blocknetproject,Blocknet
jfarley218,itunesbackup
SillyKoalaHugs,TheFreezingKoala
Golde,PurplePen
Elgato,GameCapture,HD
SFLinux,Jami,Beta
jstarks,npiperelay
CameronSutter,Plottr
Melvin-Abraham,Google-Assistant,Preview
JanGrzegorowski,TimeSeriesAdmin
eibol,FFmpegBatchAVConverter
Kingsoft,KingsoftPDF
Glarysoft,GlaryUtilities
obsidianforensics,HindsightGUI
Resolume,Arena
2BrightSparks,SyncBackSE
Orwell,Dev-C++
YikuanSun,WebKitty
OBSProject,obs-amd-encoder
Cisco,Jabber
Graebert,AresCommander,2022
Cube,CubePlatform
NetSarangComputer,PortX
dumbasPL,CSGOAccountChecker
Reshade,Setup
SoftPerfect,SoftPerfectNetworkScanner
Andersama,obs-asio
yetone,OpenAITranslator
o2sh,onefetch
PrimateLabs,Geekbench,5
Telegram,Unigram
4gray,iptvnator
CodeOrg,MakerApp
PS,KubeDevDashboard
LeeSoft,ViPad
Magefile,mage
WilbertBerendsen,Frescobaldi
Kamua,TinyVid
OBSProject,OBSStudio,Pre-release
AILight,AILZ80ASM
egoist,devdocs-desktop
the-sz,Lacey
NATSAuthors,CLI
Spicebrains,Instant-Eyedropper
Synology,NoteStationClient
BinaryMark,BatchPhotoFace
LeNgocKhoa,Laragon
OpslyCloud,opsly-cli
JasnaPaka,MozBackup
Gainward,EXPERTool
MaximaTeam,Maxima
qBittorrent,qBittorrent,Beta
ThinkingManSoftware,Dimension4
Stripe,StripeCli
ByteDance,Resso
Resplendence,LatencyMon
Dapr,CLI,Preview
aislx,FlameLauncher
TossLab,JANDI
Vertexshare,WebpConverter
moshfeu,y2mp3
Wiesemann-Theis,NetworkOPC
Resplendence,RegistrarRegistryManager
iMobieInc,AnyFix
CyberPowerSystemsInc,PowerPanelPersonal
Kubernetes,kompose
athlabs,Spyglass
AndresMorelos,Invoncify
whyboris,Video-Hub-App,Demo
Codeusa,BorderlessGaming
ankurk91,GoogleChatElectron
Dman95,SASM
CodecGuide,K-LiteCodecPack,Basic
StackExchange,DNSControl
1zilc,FishingFunds
GAM-Team,GotYourBack
ETHZurich,SafeExamBrowser
Resplendence,Undeluxe
blueedge,android11react
iLovePDF,iLovePDFDesktop
JaydenDev,Catalyst
FortranLang,fpm
ojdkbuild,openjdk,14,jdk
Alibaba,AlibabaCloudCLI
ChemAxon,Marvin
EryouHao,Gridea
lstratman,easyconnect
JanJoneš,ipaSim
JvanKatwijk,Qt-DAB
Microsoft,WinDbg
Japplis,PosterFont
FirebirdProject,Firebird,5
GLPI-Project,GLPI-Agent
DeskShare,IPCameraViewer
Youqu,ToDesk
ctrl-f,userdiag
jasongin,nvs
KamilSzymborski,WindowCenteringHelper
Neotys,NeoLoad
HighPerformanceCoders,SciDAVis
ETXSoftwareInc,DuckDns
CrystalDewWorld,CrystalDiskInfo,KureiKeiEdition
LabyMediaGmbH,LabyModLauncher
iFlytek,iFlyDocs
ViewSonic,myViewBoard,Display
EuSoft,Eshelper
PaulWoolcock,SyncOutlookandGooglecalendars
360,360SE
KDE,LabPlot
WindRiver,studio-cli
CrystalDewWorld,CrystalDiskInfo
