number,title,user,created_at,updated_at,url
273961,New package: Yamaha.AudioPhraser version 1.0.1,DandelionSprout,2025-07-13T10:39:06Z,2025-07-13T11:46:35Z,https://github.com/microsoft/winget-pkgs/pull/273961
273954,New version: houmain.keymapper version 4.12.3,damn-good-b0t,2025-07-13T08:32:21Z,2025-07-13T08:52:22Z,https://github.com/microsoft/winget-pkgs/pull/273954
273937,Auth.csv: link simple-acme.simple-acme to WouterTinus,WouterTinus,2025-07-13T03:45:18Z,2025-07-14T00:28:45Z,https://github.com/microsoft/winget-pkgs/pull/273937
273930,New version: TRUSTSING.iDefender version 5.0.2.0,spectopo,2025-07-13T02:58:02Z,2025-07-14T04:15:46Z,https://github.com/microsoft/winget-pkgs/pull/273930
273920,New package: SoftwareCompanions.GerbView version 7.75.0,LinXP,2025-07-13T01:17:34Z,2025-07-13T02:41:23Z,https://github.com/microsoft/winget-pkgs/pull/273920
273897,Automatic update of 3DVista.VirtualTour from 2025.1.6 to 2025.1.19,wingetbot,2025-07-12T18:48:13Z,2025-07-12T18:59:15Z,https://github.com/microsoft/winget-pkgs/pull/273897
273891,New version: StefansTools.grepWin version 2.1.1429 (2.1.11),spectopo,2025-07-12T15:53:42Z,2025-07-14T01:04:46Z,https://github.com/microsoft/winget-pkgs/pull/273891
273890,New version: KnifMelti.WAU-Settings-GUI version 1.7.9.5,KnifMelti,2025-07-12T15:18:12Z,2025-07-12T15:54:51Z,https://github.com/microsoft/winget-pkgs/pull/273890
273860,New package: 99designs.aws-vault version 7.1.2,kai2nenobu,2025-07-12T12:58:32Z,2025-07-12T14:43:20Z,https://github.com/microsoft/winget-pkgs/pull/273860
273832,Add bot trigger for Policy-Test-* labels,mdanish-kh,2025-07-12T09:50:54Z,2025-07-12T09:52:45Z,https://github.com/microsoft/winget-pkgs/pull/273832
273810,New version: Alibaba.DingTalk version 7.8.5-Release.250710001,Justman100,2025-07-12T07:58:54Z,2025-07-12T13:48:01Z,https://github.com/microsoft/winget-pkgs/pull/273810
