PackageIdentifier,GitHubRepo,AvailableVersions,VersionFormatPattern,CurrentLatestVersionInWinGet,InstallerURLsCount,LatestVersionURLsInWinGet,ArchExtPairs,HasOpenPullRequests,GitHubLatest,LatestGitHubURLs,WinGetVersionsFound,URLComparisonPerformed,ExactURLMatches,HasAnyURLMatch,WinGetVersionsList,UniqueWinGetURLsCount,ExactMatchDetails,GitHubURLsChecked,WinGetURLsTotal,ComparisonFailureReason
Dothq.DotBrowser,dothq/browser-desktop,87.0,2NumDot1Num,87.0,1,https://github.com/dothq/browser-desktop/releases/download/87.0-2021-05-28/dot-87.0.exe,NA-exe,absent,87.0-2021-07-24,https://github.com/dothq/browser-desktop/releases/download/87.0-2021-07-24/dot-87.0.exe,1,True,0,False,87.0,1,,https://github.com/dothq/browser-desktop/releases/download/87.0-2021-07-24/dot-87.0.exe,1,
Neovim.Neovim.Nightly,neovim/neovim,0.12.0,1NumDot2NumDot1Num,0.12.0,1,https://github.com/neovim/neovim/releases/download/nightly/nvim-win64.msi,win64-msi,absent,v0.11.3,https://github.com/neovim/neovim/releases/download/v0.11.3/nvim-win64.msi,1,True,0,False,0.12.0,1,,https://github.com/neovim/neovim/releases/download/v0.11.3/nvim-win64.msi,1,
Morpheus.Bazarr,bazarr/bazarr.github.io,1.5.2,1NumDot1NumDot1Num,1.5.2,1,https://github.com/bazarr/bazarr.github.io/releases/latest/download/bazarr.zip,NA-zip,absent,v1.15,https://github.com/bazarr/bazarr.github.io/releases/download/v1.15/Bazarr.zip,1,True,0,False,1.5.2,1,,https://github.com/bazarr/bazarr.github.io/releases/download/v1.15/Bazarr.zip,1,
HydrologicEngineeringCenter.HEC-RAS,HydrologicEngineeringCenter/hec-downloads,"6.1.0.0,6.2.0.0,6.3.1,6.4.1","1NumDot1NumDot1Num,1NumDot1NumDot1NumDot1Num",6.4.1,1,https://github.com/HydrologicEngineeringCenter/hec-downloads/releases/download/1.0.28/HEC-RAS_641_Setup.exe,NA-exe,absent,1.0.38,https://github.com/HydrologicEngineeringCenter/hec-downloads/releases/download/1.0.38/HEC-HMS_413_Setup.exe,4,True,0,False,"6.4.1,6.2.0.0,6.1.0.0,6.3.1",4,,https://github.com/HydrologicEngineeringCenter/hec-downloads/releases/download/1.0.38/HEC-HMS_413_Setup.exe,4,
Unibo.Alchemist,AlchemistSimulator/Alchemist,"31.0.6,33.0.4,33.0.5,33.0.6,33.0.7,33.0.8,33.1.0,33.1.1,33.1.2,34.0.0,34.0.1,34.0.10,34.0.11,34.0.12,34.0.13,34.0.14,34.0.15,34.0.16,34.0.17,34.0.18,34.0.19,34.0.2,34.0.20,34.0.3,34.0.4,34.0.5,34.0.6,34.0.7,34.0.8,34.0.9,34.1.0,34.1.1,34.1.10,34.1.11,34.1.12,34.1.13,34.1.14,34.1.2,34.1.3,34.1.4,34.1.5,34.1.7,34.1.8,34.1.9,35.0.0,35.0.1,35.0.2,35.0.3,36.0.0,36.0.1,36.0.10,36.0.12,36.0.2,36.0.3,36.0.4,36.0.5,36.0.6,36.0.7,36.0.8,36.0.9,36.1.2,36.1.3,37.0.0,37.0.1,37.1.0,37.1.1,37.1.3,37.1.4,37.1.5,37.1.6,37.1.7,37.1.8,37.1.9,37.2.0,37.2.1,37.3.0,37.3.1,38.0.0,38.0.1,38.0.2,38.0.3,39.0.0,39.0.1,40.0.0,40.1.0,40.1.2,40.1.3,41.0.0,42.0.1,42.0.2,42.0.3,42.0.4,42.0.5,42.0.6,42.0.7,42.0.8,42.0.9,42.1.0,42.1.1,42.2.0,42.2.1,42.2.2,42.2.3,42.2.4","2NumDot1NumDot1Num,2NumDot1NumDot2Num",42.2.4,1,https://github.com/AlchemistSimulator/Alchemist/releases/download/42.2.4/alchemist-42.2.4.msi,NA-msi,absent,42.2.5,https://github.com/AlchemistSimulator/Alchemist/releases/download/42.2.5/alchemist-42.2.5.msi,104,True,0,False,"37.1.9,37.1.1,42.0.3,42.2.4,37.1.4,37.0.1,42.2.0,37.1.7,34.0.13,34.0.17,37.1.0,42.0.4,34.0.1,33.1.0,34.1.9,38.0.0,39.0.1,34.1.3,34.0.19,34.0.4,34.1.11,42.2.2,38.0.1,34.0.5,39.0.0,37.0.0,36.1.3,41.0.0,37.1.6,34.1.12,40.0.0,37.1.5,34.0.20,42.2.1,42.0.8,36.0.0,34.1.7,34.0.14,36.0.10,34.0.10,34.1.8,31.0.6,38.0.2,34.0.9,37.2.1,36.0.4,42.0.1,34.1.14,34.1.10,37.3.0,35.0.0,34.1.13,33.0.7,36.1.2,37.1.3,34.0.2,34.1.2,40.1.2,34.0.7,42.0.7,42.1.0,36.0.9,34.0.11,36.0.1,33.0.5,33.0.6,42.0.5,37.3.1,40.1.0,33.1.1,35.0.1,33.0.4,33.1.2,34.0.0,34.0.16,34.0.18,36.0.7,36.0.3,34.1.5,36.0.6,33.0.8,34.0.3,42.0.9,34.0.6,36.0.2,37.2.0,34.0.8,37.1.8,34.0.15,42.0.6,34.0.12,34.1.4,36.0.5,42.2.3,35.0.3,42.1.1,36.0.8,42.0.2,38.0.3,34.1.0,35.0.2,36.0.12,34.1.1,40.1.3",104,,https://github.com/AlchemistSimulator/Alchemist/releases/download/42.2.5/alchemist-42.2.5.msi,104,
Ablaze.Floorp.Daylight,Floorp-Projects/Floorp-12,138.0.3@12.0.0-rc.1,3NumDot1NumDotDot1NumDot1NumDashrcDot1Num,138.0.3@12.0.0-rc.1,1,https://github.com/Floorp-Projects/Floorp-12/releases/download/beta/floorp-win64-installer.exe,win64-exe,absent,v138.0.5,https://github.com/Floorp-Projects/Floorp-12/releases/download/v138.0.5/floorp-win64-installer.exe,1,True,0,False,138.0.3@12.0.0-rc.1,1,,https://github.com/Floorp-Projects/Floorp-12/releases/download/v138.0.5/floorp-win64-installer.exe,1,
ClassicOldSong.Apollo,ClassicOldSong/Apollo,"0.3.0,0.3.1-hotfox.1,0.3.3,0.3.4,0.3.7-hotfix.1,v0.2.6-alpha.3,v0.2.7,v0.2.8-alpha.5,v0.2.9-alpha.8","1NumDot1NumDot1Num,1NumDot1NumDot1NumDash6LetterDot1Num,1NumDot1NumDot1NumDashalphaDot1Num",v0.2.9-alpha.8,1,https://github.com/ClassicOldSong/Apollo/releases/download/v0.2.9-alpha.8/Apollo.exe,NA-exe,absent,v0.4.0,https://github.com/ClassicOldSong/Apollo/releases/download/v0.4.0/Apollo.exe,9,True,0,False,"v0.2.8-alpha.5,v0.2.9-alpha.8,0.3.1-hotfox.1,v0.2.7,0.3.0,0.3.4,0.3.7-hotfix.1,0.3.3,v0.2.6-alpha.3",9,,https://github.com/ClassicOldSong/Apollo/releases/download/v0.4.0/Apollo.exe,9,
OneWare.OneWareStudio,one-ware/OneWare,"0.13.1.0,0.14.0.0,0.15.3.0,0.16.7.0,0.16.8.0,0.17.5.0,0.17.6.0,0.17.7.0,0.18.0.0,0.18.5.0,0.19.1.0,0.19.2.0,0.20.0.0,0.20.4.0,0.20.5.0,0.21.0.0,0.21.2.0,0.21.3.0,0.21.4.0",1NumDot2NumDot1NumDot1Num,0.21.4.0,1,https://github.com/one-ware/OneWare/releases/download/0.21.4.0/OneWareStudio-0.21.4.0-win-x64.msi,win-x64-msi,absent,0.21.6.0,https://github.com/one-ware/OneWare/releases/download/0.21.6.0/OneWareStudio-0.21.6.0-win-x64.msi,19,True,0,False,"0.18.0.0,0.20.0.0,0.15.3.0,0.13.1.0,0.17.7.0,0.16.8.0,0.21.3.0,0.20.5.0,0.20.4.0,0.16.7.0,0.17.5.0,0.21.4.0,0.19.1.0,0.17.6.0,0.14.0.0,0.18.5.0,0.21.2.0,0.21.0.0,0.19.2.0",19,,https://github.com/one-ware/OneWare/releases/download/0.21.6.0/OneWareStudio-0.21.6.0-win-x64.msi,19,
RoniLehto.LMath,lehtoroni/lmath-issues,"r1.10.0,r1.10.1,r1.10.10,r1.10.11,r1.10.2,r1.10.3,r1.10.4,r1.10.5,r1.10.6,r1.10.7,r1.10.8,r1.10.9,r1.6,r1.7,r1.8,r1.9","1NumDot1Num,1NumDot2NumDot1Num,1NumDot2NumDot2Num",r1.10.11,1,https://github.com/lehtoroni/lmath-issues/releases/download/r1.10.11/LMath_Windows_r1.10.11-release.exe,NA-exe,absent,r1.10.13,https://github.com/lehtoroni/lmath-issues/releases/download/r1.10.13/LMath_Windows_r1.10.13-release.exe,16,True,0,False,"r1.10.4,r1.10.2,r1.10.6,r1.10.7,r1.10.5,r1.10.10,r1.8,r1.10.0,r1.10.8,r1.10.3,r1.7,r1.6,r1.10.11,r1.9,r1.10.9,r1.10.1",16,,https://github.com/lehtoroni/lmath-issues/releases/download/r1.10.13/LMath_Windows_r1.10.13-release.exe,16,
CozyCloud.CozyDrive.Beta,cozy-labs/cozy-desktop,"3.30.0-beta.1,3.30.1-beta.1,3.30.1-beta.2,3.30.1-beta.3,3.31.0-beta.1,3.31.0-beta.2,3.32.0-beta.1,3.32.0-beta.2,3.33.0-beta.1,3.33.0-beta.2,3.33.0-beta.4,3.34.0-beta.1,3.34.0-beta.2,3.35.0-beta.1,3.35.0-beta.2,3.36.0-beta.1,3.36.1-beta.1,3.36.1-beta.2,3.37.0-beta.1,3.38.0-beta.1,3.38.0-beta.2,3.39.0-beta.1,3.39.0-beta.3,3.39.0-beta.4,3.40.0-beta.1,3.40.0-beta.2,3.40.0-beta.3,3.41.0-beta.2,3.41.0-beta.3,3.42.0-beta.1,3.42.0-beta.2,3.42.0-beta.3,3.43.0-beta.1,3.43.0-beta.2,3.43.1-beta.2,4.0.0-beta.1,4.0.0-beta.2,4.0.0-beta.3,4.0.0-beta.4,4.0.0-beta.5,4.0.0-beta.6,4.0.0-beta.7,4.0.0-beta.8,4.0.0-beta.9","1NumDot1NumDot1NumDashbetaDot1Num,1NumDot2NumDot1NumDashbetaDot1Num",4.0.0-beta.9,1,https://github.com/cozy-labs/cozy-desktop/releases/download/v4.0.0-beta.9/Twake-Desktop-Setup-4.0.0-beta.9.exe,NA-exe,absent,v3.43.1,https://github.com/cozy-labs/cozy-desktop/releases/download/v3.43.1/Cozy-Drive-Setup-3.43.1.exe,44,True,0,False,"3.43.1-beta.2,3.39.0-beta.3,4.0.0-beta.4,3.32.0-beta.2,3.33.0-beta.2,3.43.0-beta.2,4.0.0-beta.2,3.43.0-beta.1,4.0.0-beta.1,3.40.0-beta.1,3.31.0-beta.2,3.34.0-beta.1,3.30.1-beta.1,4.0.0-beta.3,3.30.1-beta.2,3.33.0-beta.4,3.32.0-beta.1,3.36.1-beta.1,4.0.0-beta.9,3.33.0-beta.1,3.39.0-beta.4,3.40.0-beta.2,3.42.0-beta.3,3.42.0-beta.1,3.35.0-beta.1,3.36.1-beta.2,3.35.0-beta.2,3.30.1-beta.3,3.36.0-beta.1,3.41.0-beta.3,3.37.0-beta.1,3.39.0-beta.1,3.42.0-beta.2,4.0.0-beta.6,3.34.0-beta.2,4.0.0-beta.8,4.0.0-beta.7,3.38.0-beta.2,3.31.0-beta.1,3.30.0-beta.1,3.40.0-beta.3,3.38.0-beta.1,4.0.0-beta.5,3.41.0-beta.2",44,,https://github.com/cozy-labs/cozy-desktop/releases/download/v3.43.1/Cozy-Drive-Setup-3.43.1.exe,44,
